Parties,Parties_2,Status,Date of signature,Date of entry into force,Date of termination,Type of termination,Amendment protocols
Albania, United States of America,In force,11/01/1995,04/01/1998,,,No
Argentina, United States of America,In force,14/11/1991,20/10/1994,,,No
Armenia, United States of America,In force,23/09/1992,29/03/1996,,,No
Azerbaijan, United States of America,In force,01/08/1997,02/08/2001,,,No
Bahrain, United States of America,In force,29/09/1999,30/05/2001,,,No
Bangladesh, United States of America,In force,12/03/1986,25/07/1989,,,No
Belarus, United States of America,Signed,15/01/1994,,,,No
"Bolivia, Plurinational State of", United States of America,Terminated,17/04/1998,06/06/2001,10/06/2012,Unilaterally denounced,No
Bulgaria, United States of America,In force,23/09/1992,02/06/1994,,,"- sign date: 22/09/2003, entry into force date: 22/09/2003
"
Cameroon, United States of America,In force,26/02/1986,06/04/1989,,,No
"Congo, Democratic Republic of the", United States of America,In force,03/08/1984,28/07/1989,,,No
Congo, United States of America,In force,12/02/1990,13/08/1994,,,No
Croatia, United States of America,In force,13/07/1996,20/06/2001,,,No
Czech Republic, United States of America,In force,22/10/1991,19/12/1992,,,"- sign date: 10/12/2003, entry into force date: 10/12/2003
"
Ecuador, United States of America,In force,27/08/1993,11/05/1997,,,No
Egypt, United States of America,In force,11/03/1986,27/06/1992,,,No
El Salvador, United States of America,Signed,10/03/1999,,,,No
Estonia, United States of America,In force,19/04/1994,16/02/1997,,,"- sign date: 01/05/2004, entry into force date: 01/05/2004
"
Georgia, United States of America,In force,07/03/1994,10/08/1999,,,No
Grenada, United States of America,In force,02/05/1986,03/03/1989,,,No
Haiti, United States of America,Signed,13/12/1983,,,,No
Honduras, United States of America,In force,01/07/1995,11/07/2001,,,No
Jamaica, United States of America,In force,04/02/1994,07/03/1997,,,No
Jordan, United States of America,In force,02/07/1997,12/06/2003,,,No
Kazakhstan, United States of America,In force,19/05/1992,12/01/1994,,,No
Kyrgyzstan, United States of America,In force,19/01/1993,12/01/1994,,,No
Latvia, United States of America,In force,13/01/1995,26/12/1996,,,"- sign date: 22/09/2003, entry into force date: 22/09/2003
"
Lithuania, United States of America,In force,14/01/1998,13/06/2004,,,"- sign date: 22/09/2003, entry into force date: 22/09/2003
"
"Moldova, Republic of", United States of America,In force,21/04/1993,26/11/1994,,,No
Mongolia, United States of America,In force,06/10/1994,04/01/1997,,,No
Morocco, United States of America,In force,22/07/1985,29/05/1991,,,No
Mozambique, United States of America,In force,01/12/1998,03/03/2005,,,No
Nicaragua, United States of America,Signed,01/07/1995,,,,No
Panama, United States of America,In force,27/10/1982,30/05/1991,,,"- sign date: 01/06/2000, entry into force date: 01/06/2000
"
Poland, United States of America,In force,21/03/1990,06/08/1994,,,"- sign date: 12/01/2004, entry into force date: 12/01/2004
"
Romania, United States of America,In force,28/05/1992,15/01/1994,,,"- sign date: 21/10/2003, entry into force date: 21/10/2003
"
Russian Federation, United States of America,Signed,17/06/1992,,,,No
Rwanda, United States of America,In force,19/02/2008,01/01/2012,,,No
Senegal, United States of America,In force,06/12/1983,25/10/1990,,,No
Slovakia, United States of America,In force,22/10/1991,19/12/1992,,,"- sign date: 22/09/2003, entry into force date: 22/09/2003
"
Sri Lanka, United States of America,In force,20/09/1991,01/05/1993,,,No
Trinidad and Tobago, United States of America,In force,26/09/1994,26/12/1996,,,No
Tunisia, United States of America,In force,15/05/1990,07/02/1993,,,No
Turkey, United States of America,In force,03/12/1985,18/05/1990,,,No
Ukraine, United States of America,In force,04/03/1994,16/11/1996,,,No
 Uruguay, United States of America,In force,04/11/2005,31/10/2006,,,No
 Uzbekistan, United States of America,Signed,16/12/1994,,,,No